epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,441.76,1.49681,2.89175,3.19482,1.47462,0,0.24427,0.21044,0.15064,0.07821,0.25026,0.19471,0.13562,0.05919,1.81655,3.1128,3.93957,1.78894,0,0.0014456,0.0014456,0.0014456
30,456.358,1.48419,2.87164,3.16426,1.45512,0,0.24001,0.2614,0.16927,0.08603,0.23023,0.25478,0.15643,0.07119,1.77051,2.97149,3.9086,1.77683,0,0.0014258,0.0014258,0.0014258
31,470.989,1.51706,2.88737,3.18174,1.46675,0,0.23481,0.2132,0.14183,0.07475,0.2198,0.19848,0.1281,0.05244,1.71217,3.19242,4.94006,1.70325,0,0.001406,0.001406,0.001406
32,485.457,1.46555,2.84376,3.08495,1.44348,0,0.24333,0.24324,0.15958,0.08376,0.24465,0.22689,0.14927,0.06406,1.6979,3.11164,4.12893,1.70707,0,0.0013862,0.0013862,0.0013862
33,500.007,1.4908,2.86621,3.11077,1.46332,0,0.25795,0.2273,0.15403,0.08009,0.25013,0.19249,0.13948,0.05529,1.7406,3.17359,4.22333,1.76987,0,0.0013664,0.0013664,0.0013664
34,514.619,1.4528,2.78135,3.02872,1.42596,0,0.24791,0.21926,0.15061,0.07608,0.24859,0.20487,0.1377,0.05959,1.73336,3.03856,4.12252,1.73085,0,0.0013466,0.0013466,0.0013466
35,529.329,1.46148,2.86659,3.07574,1.43945,0,0.244,0.21924,0.15305,0.07938,0.23733,0.19477,0.13224,0.05697,1.74431,3.25469,4.18764,1.73685,0,0.0013268,0.0013268,0.0013268
36,544.058,1.437,2.74489,3.01547,1.42343,0,0.26174,0.22124,0.1679,0.08543,0.24406,0.20768,0.14717,0.06433,1.73851,3.14331,4.14999,1.77509,0,0.001307,0.001307,0.001307
37,558.676,1.42098,2.72997,2.9809,1.4212,0,0.26602,0.25221,0.16969,0.09319,0.25746,0.2409,0.1571,0.07212,1.71035,3.15172,3.91984,1.7239,0,0.0012872,0.0012872,0.0012872
38,573.212,1.44521,2.80082,3.04796,1.43758,0,0.25247,0.25891,0.17347,0.09193,0.26627,0.21056,0.15303,0.06737,1.72728,3.07309,4.26761,1.72281,0,0.0012674,0.0012674,0.0012674
39,587.762,1.42853,2.77575,2.95572,1.43446,0,0.29462,0.27311,0.18883,0.1018,0.27797,0.25767,0.17674,0.07801,1.6697,3.12459,3.96029,1.69039,0,0.0012476,0.0012476,0.0012476
40,602.286,1.41928,2.75319,2.92999,1.40542,0,0.27653,0.24781,0.16303,0.08589,0.25939,0.22884,0.14248,0.06239,1.68982,3.07286,4.34993,1.73636,0,0.0012278,0.0012278,0.0012278
41,616.913,1.41011,2.75726,2.96585,1.41373,0,0.36932,0.17423,0.15107,0.07754,0.32921,0.15886,0.13547,0.05529,1.71153,3.01874,4.14343,1.72371,0,0.001208,0.001208,0.001208
42,631.512,1.41092,2.73114,2.86467,1.4031,0,0.31311,0.2286,0.18988,0.1035,0.30775,0.2226,0.17559,0.07915,1.71775,3.13097,3.84273,1.70342,0,0.0011882,0.0011882,0.0011882
43,646.117,1.41132,2.69558,2.86401,1.40729,0,0.23795,0.23916,0.16885,0.09018,0.22783,0.2199,0.15395,0.06884,1.70094,3.18813,3.92484,1.74933,0,0.0011684,0.0011684,0.0011684
44,661.852,1.39481,2.70402,2.8406,1.39126,0,0.23343,0.20241,0.13521,0.06876,0.24362,0.1937,0.12483,0.05015,1.72136,3.37175,4.16848,1.73946,0,0.0011486,0.0011486,0.0011486
45,678.421,1.40042,2.69424,2.87931,1.40741,0,0.26422,0.23375,0.16382,0.08517,0.28145,0.20117,0.14591,0.06441,1.67726,3.08799,3.98831,1.70566,0,0.0011288,0.0011288,0.0011288
46,695.162,1.40737,2.69509,2.85501,1.3952,0,0.35823,0.23062,0.19192,0.09654,0.34005,0.22232,0.17503,0.07283,1.71113,3.02441,3.85921,1.71893,0,0.001109,0.001109,0.001109
47,711.744,1.37771,2.66363,2.80507,1.38634,0,0.23766,0.25426,0.16197,0.08696,0.26344,0.20481,0.15128,0.06484,1.72879,3.11138,3.96879,1.73523,0,0.0010892,0.0010892,0.0010892
48,728.096,1.36405,2.63895,2.75568,1.3799,0,0.30264,0.24445,0.18524,0.10008,0.27827,0.23167,0.16319,0.07281,1.65566,3.032,3.72499,1.68402,0,0.0010694,0.0010694,0.0010694
49,743.008,1.37014,2.64708,2.72158,1.37509,0,0.2824,0.27865,0.20129,0.10644,0.29707,0.25083,0.18531,0.08467,1.66988,3.08191,3.78472,1.68283,0,0.0010496,0.0010496,0.0010496
50,757.561,1.35311,2.65096,2.74851,1.37721,0,0.3153,0.23429,0.18095,0.09981,0.30002,0.21493,0.16305,0.07417,1.65271,3.14359,3.82382,1.68993,0,0.0010298,0.0010298,0.0010298
51,772.268,1.39009,2.67168,2.77688,1.38563,0,0.29978,0.23704,0.18695,0.09724,0.28694,0.2335,0.17201,0.07626,1.695,3.11177,3.84669,1.72099,0,0.00101,0.00101,0.00101
52,786.751,1.34924,2.64936,2.71665,1.37695,0,0.29771,0.24028,0.18434,0.09682,0.28881,0.22759,0.17019,0.07133,1.67515,3.10859,3.85021,1.70936,0,0.0009902,0.0009902,0.0009902
53,800.759,1.36998,2.66122,2.74505,1.37486,0,0.30343,0.23456,0.1758,0.09641,0.26904,0.21904,0.15733,0.0701,1.67938,3.10628,3.69037,1.70974,0,0.0009704,0.0009704,0.0009704
54,816.349,1.32374,2.59877,2.66722,1.3546,0,0.23765,0.26162,0.17553,0.09182,0.26637,0.20064,0.15072,0.06624,1.67712,3.25417,3.93759,1.66807,0,0.0009506,0.0009506,0.0009506
55,833.178,1.34824,2.63044,2.66131,1.36837,0,0.25434,0.27738,0.1806,0.09743,0.23094,0.24538,0.15856,0.07149,1.66994,3.04956,3.81904,1.69459,0,0.0009308,0.0009308,0.0009308
56,850.355,1.3581,2.64621,2.68165,1.36037,0,0.29223,0.23768,0.18684,0.09531,0.27418,0.22515,0.16473,0.07336,1.70096,3.06453,3.79395,1.73428,0,0.000911,0.000911,0.000911
57,866.653,1.36124,2.6274,2.64869,1.36057,0,0.33309,0.22933,0.19183,0.10362,0.31264,0.21946,0.16873,0.07446,1.62695,3.04025,3.66132,1.66939,0,0.0008912,0.0008912,0.0008912
