epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,431.941,1.49559,2.7965,3.14507,1.46883,0,0.26756,0.26902,0.16264,0.08377,0.26426,0.23698,0.15009,0.06208,1.68825,3.11138,4.14605,1.70407,0,0.0014654,0.0014654,0.0014654
29,446.109,1.46383,2.79752,3.07262,1.45433,0,0.24163,0.25609,0.16224,0.08025,0.22768,0.22714,0.13617,0.05802,1.75949,3.10839,4.26567,1.74391,0,0.0014456,0.0014456,0.0014456
30,460.195,1.46248,2.80429,3.08487,1.45234,0,0.2444,0.2553,0.15251,0.07789,0.23203,0.24005,0.13889,0.06097,1.76356,3.17614,4.32908,1.75193,0,0.0014258,0.0014258,0.0014258
31,474.367,1.48016,2.80168,3.0542,1.45088,0,0.28411,0.22951,0.16953,0.08794,0.28765,0.23439,0.15868,0.07153,1.72455,3.03299,4.41173,1.71569,0,0.001406,0.001406,0.001406
32,488.495,1.45425,2.77142,2.97493,1.43171,0,0.23821,0.24584,0.16326,0.08523,0.22603,0.23274,0.14473,0.06436,1.71336,3.14291,3.98137,1.73816,0,0.0013862,0.0013862,0.0013862
33,502.473,1.46514,2.79818,3.01231,1.44994,0,0.24454,0.24038,0.15127,0.07831,0.2328,0.22752,0.13383,0.05639,1.72195,3.39489,4.14123,1.73437,0,0.0013664,0.0013664,0.0013664
34,516.657,1.41545,2.71132,2.9252,1.40674,0,0.23571,0.26931,0.167,0.08552,0.22075,0.24963,0.14805,0.06556,1.72547,3.20503,4.04146,1.72595,0,0.0013466,0.0013466,0.0013466
35,530.536,1.42517,2.7549,2.93327,1.42201,0,0.23101,0.21856,0.13794,0.07406,0.24664,0.19322,0.12097,0.05261,1.72732,3.25706,4.31699,1.71069,0,0.0013268,0.0013268,0.0013268
36,544.394,1.40755,2.66214,2.88926,1.4071,0,0.21546,0.24114,0.1403,0.07234,0.20267,0.22572,0.12225,0.05196,1.70221,3.35272,4.45075,1.7161,0,0.001307,0.001307,0.001307
37,558.153,1.40046,2.64571,2.88633,1.41245,0,0.25589,0.28283,0.16915,0.09114,0.24666,0.25033,0.15477,0.07018,1.70079,3.01917,3.92064,1.7249,0,0.0012872,0.0012872,0.0012872
38,571.964,1.40601,2.70742,2.94171,1.41818,0,0.25407,0.25021,0.16931,0.08441,0.2339,0.21909,0.14114,0.05959,1.71927,3.06289,4.09947,1.73862,0,0.0012674,0.0012674,0.0012674
39,589.037,1.4069,2.68534,2.8406,1.41409,0,0.26217,0.22564,0.15814,0.08087,0.24647,0.21326,0.14216,0.06173,1.71964,3.22717,4.11997,1.70129,0,0.0012476,0.0012476,0.0012476
40,604.398,1.3862,2.66516,2.79026,1.38813,0,0.23204,0.26109,0.16705,0.08836,0.22495,0.25126,0.15067,0.0671,1.67781,3.07127,4.09017,1.69414,0,0.0012278,0.0012278,0.0012278
41,620.82,1.37611,2.66023,2.8191,1.39333,0,0.25838,0.25528,0.17451,0.09187,0.25419,0.23393,0.1541,0.07032,1.67149,3.04769,4.02861,1.66502,0,0.001208,0.001208,0.001208
42,635.079,1.37333,2.64588,2.75413,1.38223,0,0.22482,0.26696,0.16235,0.08653,0.21581,0.25408,0.14907,0.06471,1.66651,2.97271,4.02233,1.67272,0,0.0011882,0.0011882,0.0011882
43,648.974,1.36371,2.60576,2.75544,1.37254,0,0.29117,0.25278,0.17804,0.09145,0.29098,0.24151,0.16676,0.07368,1.71418,3.24234,4.0453,1.73525,0,0.0011684,0.0011684,0.0011684
44,663.584,1.37262,2.6213,2.71082,1.37286,0,0.25082,0.2503,0.16819,0.08784,0.24971,0.22983,0.15375,0.06792,1.69449,3.21792,4.01775,1.69563,0,0.0011486,0.0011486,0.0011486
45,678.352,1.36603,2.59922,2.75838,1.38507,0,0.25256,0.27965,0.18665,0.09735,0.22495,0.23982,0.16222,0.07115,1.72371,3.21098,3.95045,1.7239,0,0.0011288,0.0011288,0.0011288
46,692.317,1.37707,2.59927,2.70676,1.37948,0,0.30231,0.26964,0.18204,0.09447,0.27924,0.24938,0.16222,0.07121,1.7151,3.12714,3.97474,1.72278,0,0.001109,0.001109,0.001109
47,706.364,1.34784,2.58352,2.6817,1.37155,0,0.30708,0.23255,0.16711,0.08833,0.28036,0.20352,0.14438,0.06199,1.69639,3.31213,4.22473,1.692,0,0.0010892,0.0010892,0.0010892
48,720.395,1.33355,2.54435,2.63033,1.35625,0,0.26764,0.25365,0.16827,0.08975,0.26239,0.24666,0.15336,0.0686,1.71198,3.21793,4.08298,1.68728,0,0.0010694,0.0010694,0.0010694
49,734.35,1.33515,2.5628,2.60872,1.35335,0,0.29253,0.25995,0.18815,0.09719,0.28224,0.24565,0.16721,0.07728,1.68452,3.33735,3.7722,1.69298,0,0.0010496,0.0010496,0.0010496
50,748.131,1.32301,2.57297,2.61981,1.35787,0,0.35285,0.24088,0.19434,0.10366,0.33123,0.24151,0.18226,0.07771,1.66895,3.0703,3.87024,1.71069,0,0.0010298,0.0010298,0.0010298
51,762.058,1.35499,2.59134,2.68171,1.36579,0,0.31265,0.26479,0.18696,0.09827,0.27612,0.24401,0.16441,0.07229,1.65627,3.09428,3.71631,1.68139,0,0.00101,0.00101,0.00101
52,775.924,1.30977,2.54081,2.5779,1.35058,0,0.26514,0.2453,0.17689,0.0929,0.27278,0.2351,0.16309,0.06977,1.71459,3.26926,3.91626,1.73498,0,0.0009902,0.0009902,0.0009902
53,789.991,1.33522,2.55044,2.59433,1.35924,0,0.30975,0.22934,0.18066,0.09501,0.2955,0.22113,0.16518,0.07134,1.68599,3.11634,3.88285,1.70537,0,0.0009704,0.0009704,0.0009704
54,803.978,1.28712,2.49646,2.53876,1.33463,0,0.25986,0.22681,0.16545,0.08759,0.23816,0.21167,0.15291,0.06699,1.68318,3.1708,3.91939,1.67941,0,0.0009506,0.0009506,0.0009506
55,817.922,1.30306,2.53028,2.51851,1.34383,0,0.28364,0.22819,0.15968,0.0836,0.267,0.21835,0.14491,0.06434,1.67119,3.07097,4.04844,1.70066,0,0.0009308,0.0009308,0.0009308
56,831.733,1.3193,2.55149,2.54431,1.34619,0,0.27649,0.2209,0.1618,0.08508,0.25778,0.20803,0.14533,0.06301,1.72534,3.12468,3.92138,1.73776,0,0.000911,0.000911,0.000911
57,845.629,1.32015,2.53282,2.53682,1.33502,0,0.2859,0.27043,0.19119,0.10462,0.28406,0.23271,0.16785,0.07436,1.64103,3.02015,3.83823,1.67333,0,0.0008912,0.0008912,0.0008912
58,859.478,1.30196,2.49764,2.5204,1.33951,0,0.25867,0.22818,0.16816,0.09115,0.27378,0.21425,0.15862,0.06748,1.64953,3.14624,3.89908,1.67238,0,0.0008714,0.0008714,0.0008714
59,873.235,1.29964,2.51876,2.50485,1.32294,0,0.30232,0.22967,0.16884,0.08938,0.29263,0.22319,0.14965,0.06319,1.67103,3.09138,3.90485,1.70374,0,0.0008516,0.0008516,0.0008516
60,887.146,1.28569,2.45147,2.46509,1.32105,0,0.26565,0.26288,0.17458,0.09291,0.22906,0.2478,0.15192,0.06643,1.66637,3.2411,3.87214,1.69349,0,0.0008318,0.0008318,0.0008318
61,901.03,1.31314,2.48382,2.48803,1.33189,0,0.31051,0.2459,0.18774,0.0979,0.30577,0.21474,0.16778,0.07417,1.67957,3.2347,3.95727,1.69761,0,0.000812,0.000812,0.000812
62,914.852,1.26823,2.42391,2.38091,1.30462,0,0.24903,0.25452,0.17506,0.09511,0.22815,0.24031,0.15911,0.07158,1.68271,3.15505,3.90888,1.7037,0,0.0007922,0.0007922,0.0007922
63,928.696,1.2657,2.4302,2.38561,1.3081,0,0.25124,0.24526,0.1692,0.09241,0.22248,0.22308,0.15056,0.06746,1.64823,3.10682,3.93499,1.69018,0,0.0007724,0.0007724,0.0007724
64,942.62,1.26036,2.43486,2.35541,1.31262,0,0.27804,0.23421,0.17121,0.09208,0.25631,0.22158,0.15365,0.06711,1.64691,3.18864,3.84628,1.68139,0,0.0007526,0.0007526,0.0007526
65,956.423,1.27695,2.4363,2.41055,1.31689,0,0.29395,0.27016,0.18691,0.1017,0.27848,0.25998,0.17072,0.0761,1.64196,3.07511,3.75692,1.66005,0,0.0007328,0.0007328,0.0007328
66,970.314,1.24273,2.41677,2.34693,1.30546,0,0.34234,0.25519,0.20382,0.10777,0.31309,0.23903,0.16903,0.07522,1.6442,3.08161,4.00968,1.69382,0,0.000713,0.000713,0.000713
67,984.219,1.2578,2.44962,2.35675,1.31177,0,0.28804,0.2566,0.17598,0.09884,0.25107,0.22863,0.15409,0.06743,1.61955,3.1362,3.96791,1.6746,0,0.0006932,0.0006932,0.0006932
68,998.129,1.26817,2.42921,2.36706,1.31069,0,0.27685,0.26358,0.17536,0.09647,0.26685,0.24486,0.16186,0.07393,1.63992,3.19138,3.87327,1.66629,0,0.0006734,0.0006734,0.0006734
69,1011.92,1.28256,2.46196,2.39423,1.32616,0,0.24093,0.28366,0.19189,0.10354,0.28507,0.22457,0.17698,0.07907,1.63558,3.20819,3.83575,1.64968,0,0.0006536,0.0006536,0.0006536
70,1025.89,1.2367,2.34385,2.31077,1.29814,0,0.33397,0.24698,0.19227,0.10731,0.31726,0.23336,0.1746,0.08026,1.60975,3.17541,3.78663,1.62541,0,0.0006338,0.0006338,0.0006338
71,1039.79,1.25429,2.41499,2.36003,1.30196,0,0.27006,0.28311,0.18827,0.10376,0.29231,0.25137,0.17369,0.07577,1.6175,3.16186,3.77586,1.66148,0,0.000614,0.000614,0.000614
72,1053.65,1.24129,2.37287,2.26237,1.29103,0,0.29896,0.28973,0.19323,0.10241,0.28558,0.25682,0.172,0.07725,1.62204,3.14381,3.80841,1.65146,0,0.0005942,0.0005942,0.0005942
73,1067.54,1.22097,2.37047,2.25201,1.28522,0,0.26506,0.29101,0.19053,0.10489,0.27274,0.25723,0.17657,0.07771,1.62108,3.26127,3.83126,1.64108,0,0.0005744,0.0005744,0.0005744
74,1081.54,1.24196,2.40029,2.27991,1.28792,0,0.30369,0.2584,0.1885,0.10482,0.29515,0.24127,0.16934,0.07703,1.58789,2.99598,3.80424,1.62228,0,0.0005546,0.0005546,0.0005546
75,1095.52,1.21882,2.36957,2.24432,1.27251,0,0.26314,0.25517,0.18322,0.10062,0.29917,0.21418,0.16418,0.07159,1.6074,3.14148,3.84661,1.65508,0,0.0005348,0.0005348,0.0005348
76,1109.51,1.21325,2.29214,2.20633,1.27018,0,0.33999,0.22587,0.19465,0.10414,0.34279,0.22199,0.17986,0.07904,1.61987,3.28316,3.79822,1.64963,0,0.000515,0.000515,0.000515
77,1123.42,1.19866,2.37655,2.2031,1.27386,0,0.30824,0.25446,0.18755,0.10298,0.29211,0.24543,0.17263,0.07582,1.61972,3.09194,3.762,1.66685,0,0.0004952,0.0004952,0.0004952
78,1137.48,1.21853,2.35781,2.25417,1.27489,0,0.26201,0.28504,0.18703,0.10509,0.27941,0.24931,0.17273,0.0767,1.60019,3.11269,3.74244,1.63378,0,0.0004754,0.0004754,0.0004754
79,1151.51,1.23133,2.38571,2.24889,1.28359,0,0.34058,0.24262,0.19142,0.10628,0.33103,0.23617,0.17559,0.07653,1.59717,3.16479,3.6614,1.63001,0,0.0004556,0.0004556,0.0004556
80,1167.06,1.22914,2.41916,2.2805,1.2924,0,0.32306,0.25485,0.19296,0.10689,0.30054,0.24015,0.17293,0.07734,1.62239,3.09408,3.71825,1.65007,0,0.0004358,0.0004358,0.0004358
81,1183.99,1.22953,2.40818,2.24425,1.28204,0,0.31217,0.25414,0.19693,0.10716,0.30524,0.24581,0.17823,0.07937,1.64489,3.09944,3.80234,1.66205,0,0.000416,0.000416,0.000416
82,1200.75,1.19882,2.31575,2.152,1.25759,0,0.25414,0.27291,0.17929,0.10016,0.25322,0.26039,0.16906,0.07578,1.62012,3.17253,3.80977,1.63763,0,0.0003962,0.0003962,0.0003962
83,1216.59,1.18567,2.32036,2.14279,1.25285,0,0.301,0.26984,0.18552,0.10242,0.2863,0.24676,0.16906,0.0761,1.64176,3.12959,3.82508,1.66742,0,0.0003764,0.0003764,0.0003764
84,1230.87,1.19377,2.27137,2.1319,1.25921,0,0.30269,0.26935,0.19314,0.10687,0.30124,0.25304,0.18059,0.08108,1.61193,3.13256,3.74474,1.62792,0,0.0003566,0.0003566,0.0003566
85,1244.82,1.18742,2.30759,2.15159,1.25886,0,0.24682,0.27405,0.18089,0.10097,0.25279,0.25486,0.16555,0.07504,1.59409,3.11974,3.7855,1.63599,0,0.0003368,0.0003368,0.0003368
86,1258.49,1.18517,2.28825,2.11921,1.26058,0,0.31843,0.25366,0.19435,0.10658,0.30493,0.24319,0.17543,0.07969,1.62112,3.18085,3.70369,1.65272,0,0.000317,0.000317,0.000317
87,1272.28,1.16376,2.2287,2.10006,1.24999,0,0.29587,0.27365,0.19451,0.10602,0.2699,0.26089,0.17445,0.07825,1.62074,3.21517,3.75337,1.65313,0,0.0002972,0.0002972,0.0002972
