epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,599.885,1.48571,2.85477,3.34126,1.54619,0,0.23495,0.25124,0.14272,0.06987,0.20741,0.22165,0.11912,0.05032,1.75535,3.28274,4.43404,1.89315,0,0.0014456,0.0014456,0.0014456
30,620.383,1.47011,2.76406,3.24875,1.53758,0,0.20709,0.22581,0.14673,0.07403,0.21329,0.20455,0.13758,0.05921,1.75673,3.20657,4.43338,1.90268,0,0.0014258,0.0014258,0.0014258
31,641.166,1.45811,2.77157,3.2079,1.53646,0,0.176,0.22368,0.13385,0.06821,0.19477,0.19755,0.12577,0.05211,1.74433,3.2694,4.69986,1.83185,0,0.001406,0.001406,0.001406
32,661.234,1.44896,2.74001,3.18163,1.52145,0,0.17735,0.25997,0.13825,0.07204,0.17995,0.21908,0.12387,0.05364,1.74881,3.14015,4.4509,1.87891,0,0.0013862,0.0013862,0.0013862
33,681.525,1.43853,2.7297,3.14935,1.49586,0,0.1893,0.2384,0.14215,0.07263,0.18771,0.20359,0.12871,0.05797,1.7739,3.26596,4.56938,1.89416,0,0.0013664,0.0013664,0.0013664
34,701.647,1.41934,2.72898,3.11264,1.49682,0,0.202,0.20207,0.15211,0.07699,0.20114,0.18818,0.13665,0.05607,1.80617,3.23217,4.34823,1.89055,0,0.0013466,0.0013466,0.0013466
35,721.719,1.44935,2.73828,3.12974,1.51463,0,0.26345,0.26925,0.16807,0.08527,0.22226,0.23359,0.13794,0.05971,1.74776,3.15304,4.16796,1.87719,0,0.0013268,0.0013268,0.0013268
36,741.778,1.42798,2.78716,3.15136,1.51019,0,0.20011,0.26889,0.14233,0.06927,0.17768,0.25185,0.12999,0.05503,1.77127,3.20579,4.67019,1.88374,0,0.001307,0.001307,0.001307
37,761.702,1.40183,2.70719,3.10262,1.4859,0,0.19452,0.27166,0.13944,0.07589,0.20041,0.22947,0.12197,0.05239,1.76213,3.30162,4.43018,1.86239,0,0.0012872,0.0012872,0.0012872
38,782.218,1.42224,2.7181,3.09164,1.49739,0,0.18051,0.28304,0.15077,0.07719,0.17317,0.24285,0.13631,0.05879,1.75556,3.17579,4.32926,1.87219,0,0.0012674,0.0012674,0.0012674
39,803.328,1.42611,2.75286,3.09754,1.50958,0,0.27347,0.22607,0.1571,0.07731,0.26987,0.19758,0.1389,0.06104,1.75543,3.12845,4.44288,1.89472,0,0.0012476,0.0012476,0.0012476
40,823.522,1.40686,2.65833,3.00148,1.49155,0,0.17838,0.25425,0.13461,0.06958,0.16399,0.22049,0.11575,0.05155,1.76609,3.24532,4.30395,1.85363,0,0.0012278,0.0012278,0.0012278
41,843.559,1.36627,2.6711,2.96095,1.47058,0,0.24198,0.24259,0.15429,0.08128,0.23332,0.21241,0.13314,0.05565,1.73559,3.18218,4.32249,1.86953,0,0.001208,0.001208,0.001208
42,863.531,1.37616,2.61653,2.95328,1.47114,0,0.21405,0.26258,0.15272,0.07467,0.22632,0.2011,0.12938,0.05326,1.7661,3.20063,4.31932,1.89639,0,0.0011882,0.0011882,0.0011882
43,885.014,1.39351,2.6794,2.99119,1.47977,0,0.19856,0.27651,0.15457,0.07816,0.17773,0.25317,0.14014,0.06088,1.74589,3.24332,4.30885,1.89688,0,0.0011684,0.0011684,0.0011684
44,904.928,1.38011,2.63361,2.9155,1.47628,0,0.21609,0.26394,0.14662,0.07204,0.19911,0.22455,0.12321,0.05297,1.72851,3.25062,4.29277,1.86808,0,0.0011486,0.0011486,0.0011486
45,924.892,1.37626,2.60736,2.87284,1.45125,0,0.19611,0.27111,0.16291,0.08951,0.19642,0.22514,0.14872,0.06644,1.73156,3.13238,4.35494,1.87368,0,0.0011288,0.0011288,0.0011288
46,944.896,1.37604,2.61224,2.90917,1.45687,0,0.2524,0.24632,0.16296,0.08404,0.23296,0.23094,0.14496,0.06503,1.76912,3.1284,4.16298,1.88397,0,0.001109,0.001109,0.001109
47,965.151,1.36161,2.61029,2.90659,1.45975,0,0.25304,0.25404,0.1582,0.08034,0.21171,0.22208,0.13091,0.05461,1.71889,3.23864,4.29235,1.86366,0,0.0010892,0.0010892,0.0010892
48,985.214,1.32638,2.5395,2.80334,1.43611,0,0.25417,0.24126,0.16368,0.08436,0.23644,0.21556,0.14688,0.06486,1.7165,3.2427,4.13621,1.87455,0,0.0010694,0.0010694,0.0010694
49,1005.12,1.35282,2.5895,2.83275,1.44398,0,0.23521,0.25568,0.15806,0.08079,0.23237,0.22788,0.14162,0.05931,1.76487,3.15771,4.19533,1.8996,0,0.0010496,0.0010496,0.0010496
50,1025,1.34265,2.57227,2.84386,1.45209,0,0.22599,0.27702,0.16614,0.08649,0.20255,0.24761,0.13818,0.0605,1.7257,3.2731,4.10267,1.85326,0,0.0010298,0.0010298,0.0010298
51,1044.94,1.35483,2.58719,2.80606,1.44856,0,0.24942,0.26156,0.18237,0.09469,0.23691,0.23082,0.16477,0.07004,1.72133,3.16958,4.14854,1.85626,0,0.00101,0.00101,0.00101
52,1064.86,1.33917,2.57116,2.83033,1.4354,0,0.233,0.26872,0.16656,0.08833,0.2158,0.2526,0.15553,0.0677,1.70393,3.16491,4.15161,1.84894,0,0.0009902,0.0009902,0.0009902
53,1084.97,1.34246,2.57939,2.82016,1.43947,0,0.25262,0.26187,0.1586,0.0827,0.23567,0.22766,0.13673,0.05553,1.73394,3.18418,4.15613,1.86455,0,0.0009704,0.0009704,0.0009704
54,1104.76,1.3225,2.53526,2.79624,1.4294,0,0.26839,0.25038,0.16611,0.08595,0.24443,0.23205,0.14762,0.06375,1.76117,3.19955,4.16284,1.86641,0,0.0009506,0.0009506,0.0009506
